,Unnamed: 0,Scores,Reward
0,0,0,-137
1,1,0,-67
2,2,1,-71
3,3,20,702
4,4,4,57
5,5,15,544
6,6,38,1596
7,7,26,1001
8,8,26,1046
9,9,21,744
10,10,28,1083
11,11,8,287
12,12,15,413
13,13,14,609
14,14,25,1012
15,15,26,760
16,16,26,836
17,17,12,347
18,18,39,1437
19,19,21,824
20,20,13,427
21,21,32,1169
22,22,31,1236
23,23,45,1817
24,24,25,806
25,25,33,1235
26,26,24,829
27,27,7,305
28,28,30,1120
29,29,20,767
30,30,9,224
31,31,7,154
32,32,39,1354
33,33,48,1731
34,34,10,260
35,35,35,1560
36,36,33,1461
37,37,56,2357
38,38,27,1102
39,39,26,968
40,40,0,-124
41,41,30,1191
42,42,44,1708
43,43,29,1155
44,44,16,643
45,45,20,788
46,46,25,1134
47,47,69,2741
48,48,46,1780
49,49,24,824
50,50,22,714
51,51,35,1268
52,52,34,1264
53,53,23,713
54,54,17,518
55,55,51,1868
56,56,31,1311
57,57,54,2196
58,58,33,1285
59,59,7,241
60,60,36,1457
61,61,17,770
62,62,68,2991
63,63,50,1972
64,64,28,938
65,65,27,906
66,66,30,1130
67,67,52,2155
68,68,31,1139
69,69,21,766
70,70,36,1411
71,71,17,546
72,72,8,143
73,73,61,2526
74,74,31,1089
75,75,13,423
76,76,9,221
77,77,31,1126
78,78,22,813
79,79,34,1318
80,80,20,706
81,81,44,1764
82,82,16,518
83,83,50,2095
84,84,35,1331
85,85,22,976
86,86,28,1009
87,87,45,1934
88,88,21,769
89,89,20,735
90,90,15,555
91,91,38,1492
92,92,24,800
93,93,6,188
94,94,33,1346
95,95,26,1069
96,96,27,1175
97,97,18,580
98,98,0,-93
99,99,20,731
