,Scores,Reward
0,0,-124
1,0,-85
2,0,-126
3,0,-121
4,1,-85
5,0,-139
6,0,-110
7,0,-145
8,0,-96
9,0,-119
10,0,-113
11,0,-98
12,0,-141
13,0,-129
14,4,62
15,1,-45
16,4,55
17,5,75
18,6,100
19,5,107
20,6,153
21,3,24
22,14,397
23,6,133
24,6,100
25,4,113
26,7,115
27,10,301
28,8,280
29,4,52
30,4,4
31,5,99
32,21,632
33,7,285
34,5,106
35,6,120
36,5,120
37,8,198
38,7,241
39,5,63
40,6,227
41,9,257
42,7,156
43,8,225
44,11,317
45,7,119
46,16,616
47,16,582
48,6,169
49,16,562
50,5,93
51,6,158
52,20,687
53,13,360
54,16,564
55,13,520
56,24,794
57,12,386
58,10,275
59,6,245
60,4,48
61,15,496
62,10,222
63,19,658
64,6,64
65,7,142
66,20,773
67,5,49
68,14,526
69,13,367
70,5,112
71,5,108
72,17,530
73,26,888
74,5,112
75,14,502
76,16,638
77,9,204
78,10,308
79,9,153
80,7,114
81,4,28
82,11,206
83,12,381
84,4,54
85,5,58
86,25,731
87,8,255
88,2,-2
89,25,737
90,9,215
91,11,330
92,7,203
93,0,-69
94,0,-64
95,1,-63
96,12,338
97,6,160
98,18,699
99,16,624
100,14,535
101,16,556
102,22,855
103,30,915
104,17,608
105,12,418
106,29,1222
107,25,679
108,22,789
109,5,86
110,14,473
111,18,672
112,18,557
113,9,141
114,26,1020
115,24,1024
116,19,727
117,9,388
118,17,661
119,8,206
120,18,545
121,17,562
122,35,1434
123,19,812
124,11,322
125,31,1190
126,21,718
127,20,715
128,18,600
129,51,2035
130,20,701
131,16,488
132,12,261
133,27,969
134,10,294
135,8,253
136,24,779
137,14,391
138,11,332
139,7,209
140,17,635
141,24,870
142,9,263
143,13,332
144,7,129
145,11,389
146,9,204
147,37,1540
148,0,-118
149,13,479
150,14,508
151,10,280
152,14,579
153,16,603
154,8,229
155,0,-64
156,13,325
157,10,210
158,32,1293
159,8,303
160,14,536
161,20,772
162,21,893
163,34,1232
164,0,-60
165,11,277
166,11,329
167,44,1846
168,8,224
169,19,599
170,25,895
171,30,1342
172,20,779
173,41,1481
174,13,532
175,54,2042
176,29,1076
177,17,632
178,28,1263
179,16,546
180,11,327
181,45,1810
182,8,168
183,22,894
184,11,351
185,45,1737
186,24,872
187,19,761
188,52,1966
189,24,1010
190,10,310
191,20,799
192,37,1443
193,33,1276
194,57,2223
195,7,241
196,20,874
197,16,604
198,47,1797
