,Scores,Alive_Duration
0,0,129
1,0,173
2,0,219
3,0,120
4,0,229
5,0,223
6,0,48
7,0,49
8,0,180
9,0,193
10,0,461
11,0,1000
12,0,71
13,0,125
14,0,374
15,0,263
16,0,160
17,0,132
18,0,232
19,0,128
20,0,63
21,1,189
22,0,291
23,0,75
24,1,123
25,0,51
26,0,93
27,0,233
28,0,92
29,0,58
30,0,300
31,0,245
32,0,133
33,0,224
34,0,128
35,0,231
36,0,703
37,1,164
38,0,40
39,0,106
40,0,635
41,0,1000
42,0,196
43,0,91
44,0,584
45,0,346
46,0,302
47,0,287
48,0,90
49,0,54
50,0,108
51,1,645
52,0,58
53,0,210
54,0,231
55,0,195
56,0,463
57,0,738
58,0,234
59,0,125
60,0,702
61,0,264
62,0,311
63,0,280
64,0,210
65,0,388
66,0,239
67,1,454
68,0,141
69,1,271
70,1,557
71,0,45
72,0,173
73,0,131
74,0,332
75,0,90
76,1,399
77,0,512
78,0,303
79,0,214
80,0,453
81,1,626
82,1,264
83,0,102
84,0,51
85,0,753
86,2,299
87,0,284
88,0,280
89,0,388
90,0,486
91,0,153
92,1,730
93,0,185
94,0,157
95,0,60
96,0,118
97,0,145
98,1,590
99,1,115
100,1,156
101,0,341
102,0,129
103,0,316
104,0,33
105,1,503
106,0,173
107,0,146
108,0,75
109,1,421
110,0,227
111,0,145
112,0,372
113,1,214
114,0,283
115,1,148
116,1,454
117,2,272
118,0,89
119,1,323
120,1,133
121,0,77
122,0,144
123,0,102
124,0,164
125,0,212
126,0,219
127,0,70
128,1,549
129,0,77
130,0,266
131,2,553
132,0,49
133,0,277
134,0,87
135,0,174
136,0,212
137,0,154
138,1,184
139,0,129
140,0,161
141,0,98
142,0,181
143,0,55
144,1,208
145,0,192
146,0,63
147,1,492
148,0,146
149,1,402
150,2,388
151,1,429
152,0,175
153,0,380
154,0,193
155,0,221
156,0,122
157,0,146
158,1,362
159,0,150
160,0,211
161,0,80
162,1,242
163,0,274
164,1,247
165,0,119
166,0,255
167,0,104
168,0,75
169,0,207
170,1,70
171,0,143
172,0,224
173,0,64
174,0,545
175,1,405
176,0,39
177,0,198
178,0,121
179,0,84
180,0,208
181,0,330
182,0,211
183,0,243
184,0,330
185,0,64
186,0,111
187,0,244
188,0,138
189,1,768
190,0,110
191,2,472
192,0,102
193,0,236
194,0,52
195,0,155
196,1,693
197,2,621
198,0,152
199,1,173
200,1,196
201,3,515
202,0,66
203,0,271
204,0,89
205,0,154
206,0,131
207,2,344
208,0,49
209,1,201
210,1,194
211,1,240
212,1,271
213,1,352
214,1,699
215,0,253
216,2,476
217,1,268
218,0,30
219,0,116
220,1,326
221,3,565
222,0,522
223,0,84
224,1,181
225,1,165
226,2,1420
227,0,137
228,0,226
229,0,68
230,0,80
231,1,203
232,1,293
233,1,189
234,1,177
235,1,252
236,4,484
237,1,163
238,1,358
239,0,145
240,1,78
241,0,55
242,4,695
243,1,175
244,0,105
245,0,85
246,1,103
247,0,195
248,2,681
249,0,110
250,0,1000
251,4,867
252,1,260
253,1,160
254,0,175
255,1,348
256,0,75
257,1,271
258,1,65
259,0,409
260,1,187
261,3,479
262,0,60
263,2,610
264,0,115
265,0,73
266,0,46
267,0,72
268,1,185
269,4,592
270,0,95
271,4,597
272,1,141
273,0,334
274,2,364
275,4,591
276,2,262
277,1,237
278,0,304
279,0,74
280,0,100
281,0,175
282,0,110
283,1,464
284,0,76
285,1,206
286,0,137
287,1,565
288,0,152
289,0,137
290,1,66
291,0,93
292,1,333
293,1,162
294,0,78
295,0,33
296,4,406
297,3,594
298,1,321
299,1,53
300,0,913
301,1,413
302,0,199
303,4,958
304,2,183
305,1,108
306,4,393
307,0,56
308,4,267
309,1,326
310,4,563
311,3,785
312,1,160
313,0,208
314,3,1002
315,0,50
316,1,232
317,0,144
318,1,251
319,0,157
320,2,185
321,3,1179
322,0,70
323,0,74
324,1,303
325,0,112
326,1,266
327,2,571
328,4,473
329,3,1264
330,2,699
331,1,108
332,0,296
333,2,630
334,1,50
335,1,239
336,2,407
337,0,73
338,0,65
339,0,108
340,2,317
341,0,193
342,1,168
343,0,118
344,3,552
345,3,647
346,0,153
347,1,145
348,3,952
349,0,91
350,3,557
351,4,291
352,4,708
353,4,568
354,3,510
355,3,229
356,2,244
357,1,592
358,3,441
359,3,846
360,1,381
361,2,215
362,1,114
363,1,788
364,0,161
365,2,580
366,2,234
367,0,128
368,2,394
369,3,493
370,0,88
371,4,1262
372,2,230
373,1,328
374,3,725
375,0,57
376,0,202
377,3,513
