,Scores,Alive_Duration
0,0,159
1,0,147
2,1,699
3,0,58
4,0,43
5,0,186
6,0,221
7,0,31
8,0,168
9,0,263
10,0,621
11,0,317
12,0,96
13,0,77
14,0,134
15,0,313
16,0,418
17,0,305
18,0,128
19,1,204
20,0,525
21,0,171
22,0,76
23,0,358
24,0,83
25,0,218
26,0,181
27,1,506
28,0,268
29,0,136
30,0,495
31,0,154
32,0,97
33,0,588
34,0,173
35,1,754
36,0,1000
37,0,282
38,0,61
39,0,546
40,0,70
41,0,99
42,0,184
43,0,120
44,0,191
45,0,217
46,0,109
47,0,980
48,0,165
49,0,292
50,2,671
51,0,125
52,0,96
53,0,369
54,0,457
55,1,322
56,0,65
57,0,116
58,0,246
59,1,140
60,0,187
61,0,93
62,0,147
63,0,390
64,0,168
65,0,209
66,1,432
67,0,669
68,0,293
69,1,343
70,0,699
71,0,388
72,0,134
73,0,107
74,0,79
75,0,456
76,0,188
77,1,265
78,0,83
79,0,145
80,0,150
81,0,126
82,0,80
83,0,349
84,0,303
85,0,104
86,0,394
87,0,368
88,1,387
89,0,491
90,0,156
91,1,307
92,0,132
93,1,211
94,0,747
95,0,84
96,1,90
97,1,576
98,1,413
99,0,244
100,1,364
101,0,535
102,0,263
103,0,276
104,0,262
105,0,95
106,0,82
107,1,303
108,0,279
109,0,407
110,0,179
111,0,282
112,0,97
113,0,115
114,0,125
115,0,449
116,0,54
117,1,405
118,0,212
119,0,343
120,1,506
121,0,76
122,0,133
123,0,247
124,2,1028
125,2,423
126,0,81
127,0,171
128,0,95
129,0,255
130,0,175
131,0,87
132,0,167
133,1,158
134,2,382
135,1,57
136,2,659
137,2,234
138,0,176
139,0,60
140,0,43
141,1,251
142,0,108
143,1,205
144,0,88
145,1,431
146,0,256
147,0,186
148,0,40
149,1,477
150,0,147
151,0,685
152,0,280
153,0,154
154,1,211
155,0,179
156,1,1009
157,0,572
158,1,507
159,0,254
160,1,181
161,0,79
162,1,714
163,0,64
164,0,91
165,1,559
166,1,214
167,0,165
168,1,504
169,0,279
170,2,390
171,1,514
172,0,58
173,3,488
174,1,260
175,0,163
176,0,71
177,0,258
178,0,57
179,0,191
180,0,880
181,1,89
182,0,77
183,0,54
184,0,168
185,2,897
186,0,94
187,0,69
188,1,472
189,1,300
190,0,39
191,0,102
192,0,270
193,1,346
194,1,244
195,0,150
196,2,399
197,1,612
198,1,357
199,1,191
200,0,236
201,0,71
202,1,1116
203,3,911
204,0,97
205,2,420
206,0,476
207,1,665
208,1,133
209,1,75
210,2,239
211,0,118
212,0,142
213,0,112
214,1,168
215,1,285
216,0,103
217,1,199
218,3,532
219,0,148
220,0,123
221,0,168
222,2,804
223,0,285
224,0,286
225,0,191
226,1,367
227,0,219
228,1,208
229,1,639
230,1,220
231,2,234
232,2,633
233,0,176
234,1,727
235,0,161
236,1,468
237,1,310
238,4,478
239,0,180
240,0,124
241,0,621
242,2,1181
243,0,150
244,1,333
245,0,77
246,0,123
247,0,111
248,0,86
249,1,194
250,0,56
251,0,38
252,0,116
253,0,114
254,0,67
255,0,68
256,2,795
257,0,103
258,1,254
259,2,469
260,0,87
261,1,124
262,2,286
263,3,971
264,0,139
265,1,207
266,0,141
267,1,203
268,1,405
269,1,260
270,3,307
271,0,229
272,2,67
273,1,379
274,0,82
275,1,141
276,1,161
277,2,217
278,1,115
279,1,207
280,3,434
281,0,106
282,2,359
283,3,442
284,1,157
285,1,265
286,0,267
287,2,277
288,1,42
289,3,691
290,3,788
291,1,165
292,1,303
293,0,147
294,1,254
295,1,173
296,1,225
297,1,80
298,1,99
299,2,194
300,1,171
301,1,56
302,0,69
303,0,91
304,2,782
305,3,269
306,0,176
307,3,283
308,2,477
309,2,383
310,3,337
311,2,174
312,1,109
313,0,55
314,4,477
315,3,497
316,0,86
317,3,607
318,1,136
319,1,252
320,0,72
321,0,72
322,3,438
323,1,159
324,1,236
325,2,245
326,1,214
327,0,75
328,0,72
329,1,86
330,4,414
331,1,176
332,0,106
333,2,410
334,1,107
335,1,127
336,0,105
337,3,365
338,1,121
339,0,128
340,4,898
341,0,67
342,3,538
343,0,123
344,0,197
345,1,143
346,2,477
347,2,360
348,2,509
349,0,55
350,4,650
351,1,318
352,2,207
353,1,183
354,2,210
355,1,167
356,0,57
357,4,388
358,0,62
359,1,456
360,4,1050
361,2,146
362,0,101
363,2,601
364,2,321
365,0,65
366,2,371
367,2,280
368,3,198
369,1,266
370,3,512
371,4,588
372,4,584
373,2,488
374,1,220
375,0,104
376,1,120
377,2,368
378,0,408
379,3,419
380,4,373
381,1,58
382,1,452
383,1,191
384,3,746
385,4,850
386,2,126
387,2,326
388,1,514
389,3,347
390,4,500
391,1,189
392,1,153
393,4,914
394,3,600
395,2,135
396,4,440
397,2,480
398,5,947
399,0,153
400,0,69
401,3,535
402,4,316
403,0,102
404,4,327
405,3,422
406,2,312
407,2,148
408,4,511
409,1,45
410,0,170
411,0,67
412,3,602
413,0,154
414,4,572
415,1,234
416,1,97
417,4,663
418,1,114
419,4,631
420,2,330
421,2,405
422,1,56
423,0,54
424,3,467
425,2,333
426,4,356
427,3,362
428,2,221
429,4,362
430,2,85
431,1,103
432,3,348
433,4,385
434,1,118
435,3,456
436,1,66
437,3,263
438,4,1018
439,3,266
440,4,306
441,6,519
442,4,722
443,4,428
444,4,338
445,1,249
446,4,917
447,4,477
448,4,388
449,4,719
450,1,155
451,4,461
452,1,70
453,4,193
454,1,78
455,5,674
456,4,555
457,0,80
458,4,783
459,5,580
460,3,176
461,1,288
462,3,387
463,2,430
464,4,433
465,1,179
466,4,292
467,1,69
468,1,240
469,1,162
470,3,255
471,2,180
472,4,480
473,4,367
474,2,298
475,2,298
476,3,543
477,4,495
478,0,31
479,4,649
480,4,570
481,0,179
482,1,73
483,1,156
484,2,148
485,4,420
486,1,137
487,4,260
488,4,277
489,4,473
490,4,377
491,1,143
492,4,307
493,0,109
494,3,569
495,3,775
496,4,403
497,1,81
498,4,278
499,1,193
500,2,216
501,0,99
502,2,260
503,0,129
504,2,263
505,3,368
506,4,292
507,3,337
508,1,181
509,3,277
510,1,117
511,1,103
512,4,496
513,4,503
514,4,498
515,5,372
516,0,47
517,0,25
518,2,318
519,4,611
520,4,248
521,0,45
522,2,273
523,1,76
524,4,338
525,4,266
526,1,227
527,4,188
528,1,114
529,1,94
530,5,515
531,0,36
532,0,127
533,4,373
534,4,251
535,4,395
536,4,293
537,4,183
538,1,127
539,0,79
540,1,88
541,0,119
542,3,392
543,4,520
544,2,415
545,0,54
546,0,74
547,1,97
548,5,748
549,2,68
550,4,315
551,5,278
552,5,436
553,1,88
554,0,46
555,2,210
556,3,198
557,1,235
558,2,127
559,1,181
560,4,596
561,6,444
562,1,146
