,Scores,Alive_Duration
0,0,57
1,0,663
2,0,298
3,0,63
4,0,130
5,0,349
6,0,150
7,0,242
8,0,138
9,0,270
10,0,392
11,0,31
12,0,610
13,0,443
14,0,165
15,0,109
16,0,138
17,0,92
18,0,147
19,0,220
20,0,128
21,0,393
22,0,295
23,0,370
24,0,230
25,0,344
26,0,618
27,0,126
28,0,122
29,0,94
30,0,157
31,0,207
32,0,133
33,0,168
34,0,112
35,0,300
36,0,799
37,0,163
38,0,390
39,0,301
40,0,114
41,0,102
42,0,189
43,0,101
44,0,235
45,0,65
46,0,62
47,0,80
48,0,159
49,1,306
50,0,71
51,0,109
52,0,209
53,0,325
54,0,169
55,0,289
56,0,257
57,0,58
58,0,123
59,0,95
60,0,116
61,0,134
62,0,169
63,1,210
64,0,177
65,0,387
66,0,465
67,0,354
68,0,330
69,1,271
70,0,232
71,0,97
72,0,311
73,0,207
74,0,155
75,0,271
76,0,223
77,0,209
78,1,211
79,0,36
80,0,87
81,1,161
82,1,270
83,0,110
84,1,178
85,1,149
86,1,92
87,1,142
88,0,260
89,1,321
90,0,144
91,0,229
92,0,745
93,1,177
94,0,82
95,1,141
96,1,335
97,1,137
98,0,74
99,1,314
100,1,62
101,1,164
102,0,125
103,0,387
104,1,258
105,0,183
106,0,308
107,0,135
108,1,236
109,1,223
110,1,186
111,0,76
112,0,155
113,0,164
114,0,164
115,0,181
116,0,88
117,2,410
118,0,198
119,0,270
120,1,193
121,1,138
122,1,299
123,2,78
124,1,342
125,1,106
126,0,61
127,0,100
128,1,144
129,2,226
130,0,248
131,1,75
132,0,159
133,1,47
134,0,91
135,0,128
136,0,97
137,1,95
138,0,398
139,0,105
140,0,213
141,0,121
142,0,617
143,0,371
144,0,94
145,2,461
146,0,322
147,0,77
148,0,288
149,1,101
150,0,142
151,0,110
152,1,134
153,1,93
154,0,48
155,0,33
156,0,121
157,0,153
158,1,62
159,0,74
160,0,81
161,4,974
162,0,460
163,0,220
164,0,371
165,0,196
166,4,611
167,0,245
168,2,509
169,4,543
170,2,179
171,0,57
172,0,34
173,1,370
174,0,59
175,4,302
176,0,113
177,0,432
178,0,54
179,0,136
180,4,163
181,0,96
182,0,37
183,1,150
184,0,49
185,0,159
186,2,109
187,0,79
188,1,370
189,1,202
190,0,55
191,0,44
192,0,147
193,1,100
194,2,325
195,1,66
196,3,409
197,3,317
198,0,298
199,0,458
200,4,484
201,1,154
202,0,50
203,1,292
204,0,214
205,0,114
206,0,122
207,1,62
208,0,105
209,4,362
210,1,111
211,0,45
212,4,580
213,5,534
214,1,141
215,0,78
216,4,355
217,1,167
218,0,111
219,0,54
220,2,379
221,2,188
222,4,318
223,3,892
224,5,628
225,0,74
226,1,143
227,0,54
228,2,98
229,3,296
230,2,592
231,0,45
232,3,262
233,2,108
234,4,374
235,4,460
236,0,44
237,4,624
238,0,76
239,0,123
240,0,124
241,0,49
242,0,38
243,1,296
244,3,289
245,4,687
246,0,234
247,0,63
248,3,575
249,1,181
250,4,565
251,0,100
252,2,77
253,3,246
254,0,286
255,3,197
256,0,87
257,0,59
258,4,689
259,4,296
260,4,664
261,0,48
262,3,311
263,3,289
264,2,150
265,4,223
266,4,346
267,4,364
268,4,362
269,4,566
270,0,66
271,0,57
272,4,579
273,0,40
274,0,44
275,4,402
276,0,40
277,1,432
278,2,297
279,5,302
280,2,120
281,0,100
282,0,293
283,2,123
284,1,261
285,5,310
286,2,156
287,3,309
288,1,263
289,0,71
290,2,187
291,4,370
292,3,391
293,4,152
294,1,512
295,4,311
296,4,426
297,1,99
298,4,935
299,1,457
300,6,548
301,4,259
302,1,71
303,0,62
304,0,191
305,4,213
306,6,419
307,4,421
308,3,196
309,2,361
310,0,39
311,8,349
312,2,176
313,5,480
314,4,322
315,0,37
316,5,243
317,4,141
318,7,388
319,2,132
320,4,333
321,4,373
322,4,183
323,4,294
324,6,475
325,3,192
326,5,256
327,0,162
328,5,174
329,4,212
330,2,115
331,1,97
332,0,60
333,6,296
334,6,363
335,5,171
336,0,71
337,0,76
338,4,409
339,2,211
340,4,342
341,5,467
342,2,202
343,2,268
344,5,531
345,1,74
346,5,407
347,0,40
348,2,126
349,4,306
350,0,70
351,5,361
352,4,263
353,3,209
354,5,436
355,7,351
356,0,25
357,0,33
358,4,171
359,0,33
360,1,352
361,4,312
362,1,112
363,3,342
364,0,50
365,4,288
366,4,246
367,4,341
368,2,97
369,6,304
370,1,120
371,2,177
372,3,191
373,2,86
374,3,133
375,0,49
376,0,75
377,0,47
378,0,34
379,4,316
380,7,384
381,1,49
382,0,43
383,4,248
384,3,137
385,4,277
386,4,195
387,0,75
388,4,190
389,5,389
390,2,119
391,4,247
392,0,37
393,4,230
394,5,148
395,4,408
396,4,227
397,2,185
398,1,84
399,5,277
400,4,343
401,2,91
402,1,116
403,1,110
404,4,279
405,2,76
406,4,330
407,7,337
408,7,232
409,1,213
410,5,283
411,4,244
412,2,113
413,4,229
414,0,55
415,1,136
416,4,267
417,4,161
418,5,383
419,6,219
420,0,104
421,5,378
422,5,266
423,4,104
424,4,256
425,4,239
426,2,177
427,4,234
428,5,305
429,2,156
430,4,181
431,2,84
432,5,227
433,5,289
434,5,280
435,3,102
436,6,399
437,0,58
438,5,310
439,0,54
440,1,99
441,4,422
442,2,241
443,4,223
444,0,36
445,1,102
446,2,163
447,4,215
448,4,215
449,4,201
450,4,323
451,4,173
452,0,32
453,4,153
454,4,310
455,4,258
456,8,496
457,5,216
458,4,416
459,2,177
460,4,192
461,4,301
462,3,75
463,4,240
464,5,134
465,6,250
466,6,268
467,7,303
468,2,168
469,5,296
470,4,255
471,2,104
472,6,317
473,4,226
474,8,542
475,4,218
476,0,37
477,4,160
478,0,50
479,6,362
480,1,63
481,5,200
482,1,61
483,6,412
484,4,291
485,4,284
486,6,334
487,4,192
488,4,273
489,4,224
490,5,353
491,3,144
492,0,64
493,4,90
494,4,225
495,4,183
496,2,122
497,1,102
498,2,54
499,3,162
500,1,68
501,1,105
502,1,82
503,6,455
504,4,197
505,6,331
506,5,236
507,5,238
508,6,244
509,3,256
510,4,142
511,4,180
512,4,206
513,2,88
514,4,244
515,1,30
516,8,333
517,3,155
518,4,269
519,5,365
520,5,216
521,4,175
522,0,40
523,6,409
524,4,259
525,4,185
526,9,423
527,4,226
528,4,215
529,6,225
530,4,239
531,7,357
532,4,172
533,4,274
534,0,59
535,4,201
536,0,53
537,8,514
538,3,158
539,4,152
540,1,102
541,7,286
542,6,252
543,4,178
544,2,111
545,4,269
546,8,376
547,6,227
548,4,201
549,6,186
550,4,142
551,7,393
552,2,107
553,5,224
554,9,357
555,8,373
556,3,184
557,6,188
558,2,88
559,10,436
560,5,190
561,7,424
562,4,219
563,8,479
564,3,143
565,10,364
566,6,258
567,2,100
568,1,63
569,4,167
570,6,259
571,1,69
572,6,265
573,1,51
574,1,87
575,9,435
576,3,168
577,0,28
578,8,386
579,1,39
580,5,131
581,4,188
582,7,254
583,5,245
584,2,153
585,5,225
586,0,25
587,2,120
588,4,207
589,0,28
590,10,336
591,6,236
592,2,121
593,14,625
594,0,32
595,7,281
596,3,148
597,6,234
598,4,209
599,4,212
600,4,182
601,3,214
602,4,230
