,Scores,Alive_Duration,Epsilon_Discount,Learning_Rate,Discount_Rate
0,0,186,0.9998,0.01,0.95
1,1,186,0.9998,0.01,0.95
2,1,186,0.9998,0.01,0.95
3,0,186,0.9998,0.01,0.95
4,0,186,0.9998,0.01,0.95
5,0,186,0.9998,0.01,0.95
6,0,186,0.9998,0.01,0.95
7,0,186,0.9998,0.01,0.95
8,1,186,0.9998,0.01,0.95
9,0,186,0.9998,0.01,0.95
10,0,186,0.9998,0.01,0.95
11,0,186,0.9998,0.01,0.95
12,0,186,0.9998,0.01,0.95
13,0,186,0.9998,0.01,0.95
14,0,186,0.9998,0.01,0.95
15,0,186,0.9998,0.01,0.95
16,0,186,0.9998,0.01,0.95
17,1,186,0.9998,0.01,0.95
18,0,186,0.9998,0.01,0.95
19,0,186,0.9998,0.01,0.95
20,0,186,0.9998,0.01,0.95
21,0,186,0.9998,0.01,0.95
22,0,186,0.9998,0.01,0.95
23,0,186,0.9998,0.01,0.95
24,0,186,0.9998,0.01,0.95
25,0,186,0.9998,0.01,0.95
26,0,186,0.9998,0.01,0.95
27,1,186,0.9998,0.01,0.95
28,0,186,0.9998,0.01,0.95
29,0,186,0.9998,0.01,0.95
30,0,186,0.9998,0.01,0.95
31,1,186,0.9998,0.01,0.95
32,0,186,0.9998,0.01,0.95
33,0,186,0.9998,0.01,0.95
34,1,186,0.9998,0.01,0.95
35,0,186,0.9998,0.01,0.95
36,0,186,0.9998,0.01,0.95
37,0,186,0.9998,0.01,0.95
38,0,186,0.9998,0.01,0.95
39,0,186,0.9998,0.01,0.95
40,0,186,0.9998,0.01,0.95
41,0,186,0.9998,0.01,0.95
42,0,186,0.9998,0.01,0.95
43,0,186,0.9998,0.01,0.95
44,0,186,0.9998,0.01,0.95
45,0,186,0.9998,0.01,0.95
46,0,186,0.9998,0.01,0.95
47,0,186,0.9998,0.01,0.95
48,0,186,0.9998,0.01,0.95
49,0,186,0.9998,0.01,0.95
50,0,186,0.9998,0.01,0.95
51,0,186,0.9998,0.01,0.95
52,0,186,0.9998,0.01,0.95
53,0,186,0.9998,0.01,0.95
54,0,186,0.9998,0.01,0.95
55,0,186,0.9998,0.01,0.95
56,0,186,0.9998,0.01,0.95
57,0,186,0.9998,0.01,0.95
58,0,186,0.9998,0.01,0.95
59,1,186,0.9998,0.01,0.95
60,0,186,0.9998,0.01,0.95
61,0,186,0.9998,0.01,0.95
62,1,186,0.9998,0.01,0.95
63,0,186,0.9998,0.01,0.95
64,0,186,0.9998,0.01,0.95
65,0,186,0.9998,0.01,0.95
66,0,186,0.9998,0.01,0.95
67,0,186,0.9998,0.01,0.95
68,0,186,0.9998,0.01,0.95
69,0,186,0.9998,0.01,0.95
70,0,186,0.9998,0.01,0.95
71,0,186,0.9998,0.01,0.95
72,0,186,0.9998,0.01,0.95
73,0,186,0.9998,0.01,0.95
74,0,186,0.9998,0.01,0.95
75,1,186,0.9998,0.01,0.95
76,0,186,0.9998,0.01,0.95
77,0,186,0.9998,0.01,0.95
78,0,186,0.9998,0.01,0.95
79,0,186,0.9998,0.01,0.95
80,0,186,0.9998,0.01,0.95
81,0,186,0.9998,0.01,0.95
82,0,186,0.9998,0.01,0.95
83,0,186,0.9998,0.01,0.95
84,0,186,0.9998,0.01,0.95
85,1,186,0.9998,0.01,0.95
86,0,186,0.9998,0.01,0.95
87,1,186,0.9998,0.01,0.95
88,0,186,0.9998,0.01,0.95
89,0,186,0.9998,0.01,0.95
90,0,186,0.9998,0.01,0.95
91,0,186,0.9998,0.01,0.95
92,0,186,0.9998,0.01,0.95
93,0,186,0.9998,0.01,0.95
94,0,186,0.9998,0.01,0.95
95,1,186,0.9998,0.01,0.95
96,0,186,0.9998,0.01,0.95
97,0,186,0.9998,0.01,0.95
98,1,186,0.9998,0.01,0.95
99,0,186,0.9998,0.01,0.95
100,0,186,0.9998,0.01,0.95
101,0,186,0.9998,0.01,0.95
102,0,186,0.9998,0.01,0.95
103,0,186,0.9998,0.01,0.95
104,0,186,0.9998,0.01,0.95
105,0,186,0.9998,0.01,0.95
106,0,186,0.9998,0.01,0.95
107,0,186,0.9998,0.01,0.95
108,0,186,0.9998,0.01,0.95
109,0,186,0.9998,0.01,0.95
110,0,186,0.9998,0.01,0.95
111,0,186,0.9998,0.01,0.95
112,0,186,0.9998,0.01,0.95
113,0,186,0.9998,0.01,0.95
114,0,186,0.9998,0.01,0.95
115,0,186,0.9998,0.01,0.95
116,0,186,0.9998,0.01,0.95
117,0,186,0.9998,0.01,0.95
118,0,186,0.9998,0.01,0.95
119,0,186,0.9998,0.01,0.95
120,0,186,0.9998,0.01,0.95
121,1,186,0.9998,0.01,0.95
122,0,186,0.9998,0.01,0.95
123,1,186,0.9998,0.01,0.95
124,0,186,0.9998,0.01,0.95
125,0,186,0.9998,0.01,0.95
126,0,186,0.9998,0.01,0.95
127,0,186,0.9998,0.01,0.95
128,0,186,0.9998,0.01,0.95
129,0,186,0.9998,0.01,0.95
130,1,186,0.9998,0.01,0.95
131,0,186,0.9998,0.01,0.95
132,0,186,0.9998,0.01,0.95
133,0,186,0.9998,0.01,0.95
134,0,186,0.9998,0.01,0.95
135,0,186,0.9998,0.01,0.95
136,0,186,0.9998,0.01,0.95
137,0,186,0.9998,0.01,0.95
138,0,186,0.9998,0.01,0.95
139,0,186,0.9998,0.01,0.95
140,0,186,0.9998,0.01,0.95
141,0,186,0.9998,0.01,0.95
142,0,186,0.9998,0.01,0.95
143,1,186,0.9998,0.01,0.95
144,0,186,0.9998,0.01,0.95
145,0,186,0.9998,0.01,0.95
146,0,186,0.9998,0.01,0.95
147,0,186,0.9998,0.01,0.95
148,0,186,0.9998,0.01,0.95
149,0,186,0.9998,0.01,0.95
150,1,186,0.9998,0.01,0.95
151,0,186,0.9998,0.01,0.95
