,Scores,Alive_Duration
0,0,144
1,0,238
2,0,230
3,0,51
4,0,144
5,0,458
6,0,214
7,0,103
8,0,126
9,0,382
10,0,51
11,0,498
12,0,148
13,0,167
14,1,142
15,0,234
16,0,117
17,0,94
18,0,112
19,0,422
20,0,248
21,0,120
22,0,230
23,0,566
24,0,290
25,0,191
26,0,121
27,0,108
28,0,306
29,0,445
30,0,97
31,0,569
32,0,112
33,0,41
34,0,563
35,0,403
36,1,394
37,1,169
38,0,89
39,0,712
40,1,449
41,1,1049
42,0,440
43,0,211
44,0,355
45,0,196
46,0,324
47,0,127
48,0,391
49,0,211
50,0,683
51,1,129
52,0,163
53,1,112
54,0,126
55,0,174
56,0,93
57,0,362
58,0,97
59,0,254
60,0,136
61,0,262
62,0,100
63,0,83
64,0,449
65,0,714
66,0,163
67,1,374
68,0,136
69,1,208
70,0,329
71,0,119
72,0,275
73,0,210
74,0,259
75,0,396
76,0,258
77,0,287
78,0,288
79,0,60
80,0,178
81,0,61
82,0,162
83,0,224
84,0,207
85,0,191
86,0,212
87,0,505
88,1,187
89,0,228
90,0,80
91,0,216
92,0,110
93,0,74
94,1,147
95,0,142
96,0,249
97,0,199
98,0,262
99,0,394
100,1,349
101,0,318
102,0,139
103,1,248
104,0,224
105,0,403
106,0,125
107,0,491
108,0,210
109,0,196
110,0,77
111,1,819
112,1,392
113,0,480
114,1,400
115,0,135
116,0,320
117,0,143
118,0,126
119,0,181
120,0,162
121,0,290
122,0,80
123,0,110
124,0,141
125,0,209
126,0,98
127,1,521
128,0,83
129,0,208
130,0,265
131,0,255
132,0,154
133,0,205
134,0,125
135,0,176
136,0,176
137,0,189
138,1,271
139,0,235
140,1,208
141,0,139
142,0,98
143,0,134
144,0,256
145,0,65
146,1,283
147,1,551
148,1,323
149,1,455
150,0,194
151,0,561
152,1,195
153,0,107
154,0,129
155,0,285
156,0,169
157,0,152
158,0,341
159,0,81
160,1,169
161,0,98
162,1,198
163,0,105
164,0,91
165,0,197
166,1,130
167,1,460
168,0,208
169,0,101
170,1,841
171,0,41
172,1,531
173,1,114
174,1,576
175,0,338
176,0,51
177,1,220
178,1,134
179,1,262
180,0,267
181,1,293
182,0,148
183,0,263
184,0,667
185,0,353
186,0,271
187,0,129
188,0,81
189,0,240
190,0,90
191,1,512
192,0,56
193,0,105
194,0,291
195,0,156
196,0,126
197,1,298
198,1,168
199,0,377
200,1,427
201,0,126
202,0,88
203,1,285
204,1,186
205,0,100
206,0,108
207,1,317
208,1,142
209,2,198
210,1,466
211,0,349
212,1,373
213,1,411
214,0,303
215,0,119
216,0,224
217,0,108
218,1,429
219,1,546
220,0,126
221,1,667
222,0,71
223,0,76
224,0,234
225,0,434
226,1,264
227,1,374
228,1,466
229,1,429
230,0,341
231,1,148
232,1,198
233,0,83
234,1,271
235,1,187
236,0,183
237,1,154
238,1,471
239,0,192
240,0,94
241,0,75
242,0,196
243,0,79
244,0,102
245,1,305
246,1,334
247,2,823
248,0,101
249,0,170
250,1,233
251,1,391
252,1,54
253,0,187
254,2,203
255,1,1160
256,0,116
257,1,1027
258,0,68
259,0,77
260,0,138
261,0,75
262,0,96
263,1,430
264,1,366
265,0,90
266,3,429
267,1,362
268,0,126
269,1,171
270,0,68
271,1,237
272,0,78
273,0,126
274,1,280
275,1,116
276,0,59
277,1,262
278,1,570
279,0,91
280,1,115
281,1,539
282,1,832
283,0,337
284,0,221
285,0,117
286,2,209
287,1,407
288,2,489
289,0,146
290,0,1000
291,1,438
292,1,224
293,0,721
294,1,121
295,0,101
296,1,155
297,1,243
298,0,166
299,0,97
300,3,652
301,0,97
302,1,168
303,0,67
304,1,303
305,1,160
306,0,73
307,4,764
308,1,696
309,1,315
310,2,342
311,0,701
312,0,1000
313,3,921
314,1,695
315,0,100
316,0,235
317,0,286
318,3,1253
319,0,57
320,2,328
321,1,132
322,1,90
323,1,231
324,4,740
325,0,59
326,4,1228
327,0,279
328,2,392
329,1,352
330,0,290
331,4,1204
332,0,65
333,4,588
334,1,98
335,2,642
336,0,104
337,2,384
338,4,940
339,1,648
340,0,69
341,3,364
342,0,90
343,0,947
344,1,252
345,2,210
346,0,99
347,3,701
348,1,277
349,1,239
350,0,78
351,4,1166
352,0,96
353,3,426
354,1,258
355,0,72
356,1,463
357,1,82
358,1,1003
359,0,146
360,0,61
361,0,100
362,0,105
363,1,1099
364,1,334
365,1,309
366,0,95
367,1,322
368,0,133
369,1,255
370,2,256
371,1,144
372,0,58
373,2,708
374,3,811
375,1,334
376,1,231
377,2,288
378,1,109
379,1,463
380,2,993
381,1,84
382,3,235
383,0,82
384,1,129
385,1,78
386,1,239
387,0,94
388,3,680
389,2,222
390,3,232
391,3,531
392,4,418
393,2,652
394,1,165
395,1,142
396,0,143
397,0,81
398,2,1173
399,4,329
400,1,94
401,1,109
402,3,477
403,2,265
404,2,652
405,2,297
406,0,153
407,4,987
408,2,388
409,2,256
410,2,224
411,1,395
412,4,714
413,1,134
414,2,520
415,2,305
416,1,311
417,3,577
418,3,771
419,1,202
420,1,669
421,1,110
422,1,209
423,4,344
424,1,87
425,2,351
426,0,65
427,3,509
428,0,48
429,1,254
430,1,90
431,1,386
432,1,80
433,2,193
434,3,212
435,1,57
436,4,701
437,0,69
438,1,129
439,1,507
440,1,116
441,3,583
442,0,60
443,3,791
444,4,1799
445,3,453
446,1,416
447,3,516
448,1,160
449,3,583
450,1,76
451,4,565
452,4,291
453,3,376
454,1,153
455,1,94
456,1,238
457,1,238
458,3,516
459,1,568
460,4,381
461,1,156
462,0,270
463,1,122
464,4,272
465,4,263
466,3,400
467,1,215
468,0,91
469,1,134
470,0,65
471,1,218
472,3,309
473,0,52
474,4,461
475,5,482
476,1,230
477,1,99
478,5,698
479,4,302
480,2,211
481,4,681
482,4,317
483,3,225
484,4,330
485,1,481
486,1,236
487,1,164
488,1,165
489,3,165
490,3,351
491,3,268
492,1,139
493,4,485
494,2,483
495,0,142
496,1,242
497,4,337
498,1,372
499,0,107
500,1,255
501,2,156
502,0,89
503,1,100
504,2,261
505,5,741
506,1,319
507,0,170
508,4,478
509,2,266
510,4,455
511,0,320
512,0,105
513,0,101
514,4,759
515,1,133
516,4,302
517,1,222
518,0,55
519,1,283
520,2,387
521,0,52
522,0,66
523,2,249
524,2,213
525,1,299
526,4,534
527,4,355
528,1,100
529,3,535
530,0,101
531,3,392
532,4,544
533,4,821
534,1,196
535,4,247
536,0,49
537,4,545
538,2,438
539,4,406
540,4,383
541,1,109
542,4,740
543,1,139
544,3,510
545,4,501
546,4,188
547,1,85
548,0,138
549,4,210
550,0,74
551,4,433
552,1,247
553,0,64
554,0,50
555,1,161
556,1,1014
557,1,197
558,4,492
559,1,116
560,4,395
561,4,368
562,0,55
563,1,61
564,4,575
565,2,449
566,4,345
567,0,62
568,3,205
569,4,314
570,2,203
571,2,477
572,4,341
573,4,323
574,1,147
575,2,104
576,5,496
577,1,189
578,4,207
579,3,183
580,4,517
581,1,94
582,4,719
583,4,472
584,1,206
585,4,462
586,2,453
587,4,420
588,0,101
589,2,93
590,6,1044
591,0,1000
592,0,60
593,0,544
594,1,137
595,3,218
596,2,198
597,0,187
598,4,365
599,2,339
600,4,530
601,4,640
602,1,55
603,2,329
604,2,254
605,2,766
606,0,33
607,1,214
608,4,409
609,2,86
610,4,285
611,2,204
612,1,233
613,0,66
614,0,69
615,5,686
616,5,298
617,0,66
618,2,170
619,0,161
620,4,344
621,2,229
622,0,127
623,1,446
624,4,259
625,3,283
626,2,117
627,2,95
628,4,309
629,5,358
630,4,406
631,3,275
632,2,366
633,5,248
634,0,91
635,4,424
636,4,353
637,3,208
638,5,484
639,2,186
640,0,56
641,4,404
642,0,79
643,1,160
644,4,233
645,1,128
646,2,238
647,1,135
648,5,271
649,2,100
650,0,57
651,0,44
652,4,373
653,4,344
654,0,39
655,3,153
656,1,96
657,5,386
658,2,196
659,4,713
660,0,84
661,5,399
662,2,189
663,0,71
664,2,135
665,1,65
666,2,382
667,2,262
668,4,338
669,5,363
670,2,243
671,4,416
672,1,64
673,1,61
674,4,381
675,1,193
676,2,256
677,2,223
678,4,245
679,4,295
680,1,96
681,0,26
682,5,180
683,5,328
684,4,347
685,2,180
686,0,51
687,4,305
688,4,284
689,1,72
690,3,132
691,4,317
692,0,48
693,0,85
694,1,212
695,6,288
696,2,531
697,1,89
698,0,61
699,1,60
700,5,220
701,1,182
702,3,297
703,1,119
704,2,259
705,4,325
706,3,256
707,3,302
708,4,314
709,3,332
710,1,41
711,5,265
712,0,111
713,4,342
714,3,190
715,4,251
716,3,398
717,0,98
718,1,126
719,4,255
720,2,350
721,3,331
722,4,287
723,5,296
724,5,311
725,3,394
726,1,133
727,1,79
728,4,460
729,5,258
730,2,569
731,4,321
732,4,283
733,1,349
734,1,196
735,3,408
736,3,327
737,4,300
738,3,213
739,4,358
740,5,679
741,4,296
742,1,269
743,4,119
744,4,338
745,1,77
746,0,67
747,0,88
748,0,88
749,1,100
750,1,190
751,4,405
752,1,118
753,4,471
754,1,234
755,5,360
756,1,63
757,1,104
758,1,153
759,3,254
760,2,197
761,4,216
762,5,327
763,2,107
764,4,327
765,4,184
766,4,248
767,1,108
768,0,76
769,2,76
770,0,48
771,4,166
772,4,290
773,4,378
774,5,543
775,3,248
776,2,201
777,1,113
778,4,298
779,4,196
780,1,187
781,5,273
782,5,335
783,4,273
784,3,215
785,4,357
786,5,246
787,4,230
788,1,72
789,2,69
790,4,333
791,8,429
792,1,79
793,8,300
794,4,401
795,2,63
796,5,269
797,2,144
798,1,102
799,3,105
800,3,200
801,3,192
802,2,223
803,5,310
804,3,258
805,5,389
806,4,184
807,4,202
808,1,56
809,4,256
810,8,384
811,3,328
812,0,58
813,1,180
814,6,250
815,4,454
816,2,394
817,5,327
818,4,313
819,1,24
820,2,288
821,4,404
822,3,246
823,4,112
824,3,271
825,4,318
826,1,113
827,3,239
828,0,189
829,4,347
830,5,377
831,5,335
832,0,52
833,4,225
834,1,81
835,4,156
836,4,337
837,4,221
838,1,137
839,0,28
840,4,233
841,4,173
842,4,216
843,6,384
844,0,63
845,4,344
846,0,57
847,4,406
848,1,249
849,2,228
850,4,276
851,5,339
852,2,210
853,4,328
854,4,361
855,5,336
856,1,114
857,1,69
858,0,78
859,4,296
860,0,45
861,4,140
862,4,323
863,0,30
864,4,270
865,4,196
866,1,761
867,4,287
868,5,342
869,5,341
870,2,236
871,5,182
872,3,204
873,3,130
874,4,213
875,4,208
876,5,248
877,5,528
878,2,119
879,5,337
880,1,129
881,1,234
882,4,221
883,4,260
884,5,360
885,3,130
886,5,200
887,3,246
888,5,640
889,4,195
890,6,445
891,4,236
892,4,340
893,1,74
894,4,238
895,3,154
896,1,107
897,4,169
898,1,214
899,4,339
900,6,282
901,4,374
902,4,253
903,3,332
904,4,169
905,0,57
906,4,343
907,4,599
908,4,131
909,3,208
910,2,182
911,4,268
912,4,237
913,4,191
914,1,57
915,4,217
916,4,428
917,5,435
918,5,366
919,1,74
920,2,128
921,5,740
922,4,418
923,1,55
924,4,259
925,4,141
926,4,165
927,4,312
928,4,160
929,4,198
930,2,98
931,4,181
932,4,211
933,5,274
934,4,159
935,0,29
936,0,93
937,2,91
938,2,147
939,5,312
940,2,125
941,5,304
942,5,262
943,3,285
944,5,225
945,1,137
946,4,292
947,4,369
948,1,62
949,7,536
950,1,83
951,6,401
952,4,157
953,0,120
954,1,85
955,4,234
956,4,307
957,6,321
958,3,156
959,5,229
960,8,429
961,5,253
962,8,609
963,5,224
964,4,191
965,4,260
966,1,106
967,4,222
968,5,361
969,4,214
970,4,319
971,7,191
972,1,101
973,3,211
974,4,312
975,4,381
976,8,364
977,5,271
978,0,88
979,4,126
980,1,151
981,4,180
982,2,162
983,4,138
984,4,244
985,3,140
986,3,288
987,4,280
988,4,272
989,4,141
990,6,335
991,1,115
992,4,233
993,0,312
994,2,95
995,0,45
996,3,160
997,4,335
998,1,172
999,1,64
1000,5,354
1001,4,201
1002,5,338
1003,4,341
1004,3,141
1005,4,260
1006,6,351
1007,2,427
1008,1,55
1009,2,86
1010,4,241
1011,4,431
1012,3,146
1013,4,306
1014,3,172
1015,6,269
1016,2,131
1017,4,413
1018,5,320
1019,1,67
1020,0,34
1021,4,239
1022,1,120
1023,2,1045
1024,3,149
1025,4,488
1026,1,129
1027,4,374
1028,2,118
1029,4,370
1030,5,486
1031,3,376
1032,1,121
1033,4,258
1034,1,88
1035,0,25
1036,5,188
1037,2,332
1038,5,329
1039,2,155
1040,1,105
1041,4,329
1042,4,364
1043,5,245
1044,1,115
1045,0,51
1046,4,333
1047,2,108
1048,4,206
1049,4,169
1050,4,341
1051,4,257
1052,4,209
1053,0,46
1054,2,222
1055,7,391
1056,4,457
1057,5,168
1058,3,138
1059,4,192
1060,2,246
1061,1,88
1062,1,253
1063,1,104
1064,1,179
1065,5,229
1066,2,115
1067,4,265
1068,4,160
1069,4,271
1070,3,269
1071,4,164
1072,0,54
1073,4,256
1074,5,353
1075,4,420
1076,1,105
1077,6,333
1078,3,167
1079,3,252
1080,4,260
1081,5,219
1082,5,310
1083,4,412
1084,6,281
1085,4,315
1086,2,84
1087,1,118
1088,0,61
1089,0,42
1090,5,310
1091,4,320
1092,3,234
1093,4,282
1094,4,511
1095,3,109
1096,5,179
1097,3,193
1098,4,290
1099,7,396
1100,0,58
1101,2,51
1102,1,246
1103,3,461
1104,5,573
1105,3,273
1106,4,372
1107,4,213
1108,4,188
1109,2,177
1110,4,227
1111,1,174
1112,7,465
1113,2,182
1114,4,135
1115,6,336
1116,4,219
1117,5,452
1118,5,414
1119,4,237
1120,1,140
1121,6,267
1122,5,484
1123,0,47
1124,4,180
1125,1,63
1126,4,212
1127,5,357
1128,5,340
1129,1,113
1130,1,68
1131,5,253
1132,4,312
1133,6,380
1134,6,254
1135,4,229
1136,0,67
1137,1,69
1138,0,59
1139,5,301
1140,0,1000
1141,0,181
1142,4,180
1143,4,333
1144,6,388
1145,6,353
1146,4,446
1147,1,120
1148,6,298
1149,6,338
1150,4,154
1151,5,298
1152,4,251
1153,4,386
1154,4,249
1155,6,171
1156,4,240
1157,4,198
1158,4,251
1159,7,303
1160,4,231
1161,2,150
1162,8,283
1163,4,299
1164,4,245
1165,4,317
1166,7,232
1167,7,350
1168,1,109
1169,3,213
1170,2,108
1171,4,103
1172,0,29
1173,0,30
1174,6,229
1175,5,256
1176,6,355
1177,1,67
1178,8,433
1179,4,290
1180,5,281
1181,6,278
1182,1,106
1183,4,180
1184,7,497
1185,4,189
1186,6,353
1187,6,440
1188,0,73
1189,2,187
1190,1,99
1191,1,731
1192,0,72
1193,0,34
1194,1,248
1195,3,177
1196,2,186
1197,3,227
1198,4,130
1199,6,367
1200,2,937
1201,0,37
1202,1,102
1203,0,169
1204,4,180
1205,0,67
1206,4,230
1207,1,174
1208,2,90
1209,3,247
1210,4,220
1211,4,284
1212,1,134
1213,1,100
1214,2,132
1215,6,282
1216,0,68
1217,2,261
1218,2,221
1219,0,29
1220,1,240
1221,4,168
1222,10,647
1223,6,248
1224,7,472
1225,3,335
1226,6,415
1227,6,422
1228,3,228
1229,4,844
1230,0,49
1231,0,1000
1232,5,247
1233,4,52
1234,1,72
1235,7,469
1236,0,86
1237,2,187
1238,6,334
1239,4,201
1240,4,181
1241,3,115
1242,7,364
1243,5,340
1244,8,498
1245,5,213
1246,6,373
1247,1,162
1248,2,141
1249,6,379
1250,3,169
1251,4,259
1252,7,217
1253,4,257
1254,3,159
1255,5,225
1256,7,266
1257,6,227
1258,7,330
1259,4,246
1260,3,342
1261,1,55
1262,7,432
1263,1,203
1264,3,323
1265,6,249
1266,1,130
1267,1,110
1268,4,190
1269,1,65
1270,4,385
1271,2,137
1272,1,68
1273,7,537
1274,7,369
1275,0,49
1276,4,189
1277,4,313
1278,4,221
1279,5,188
1280,3,232
1281,5,396
1282,6,348
1283,5,220
1284,3,126
1285,2,65
1286,4,271
1287,5,187
1288,3,243
1289,4,268
1290,5,297
1291,3,184
1292,1,98
1293,2,116
1294,5,344
1295,0,92
1296,4,160
1297,2,101
1298,4,124
1299,4,150
1300,4,165
1301,5,431
1302,1,47
1303,1,72
1304,5,352
1305,3,136
1306,5,208
1307,3,265
1308,1,49
1309,2,85
1310,4,167
1311,6,339
1312,2,207
1313,4,171
1314,5,227
1315,4,224
1316,1,45
1317,4,206
1318,9,399
1319,3,181
1320,1,114
1321,2,100
1322,6,271
1323,2,88
1324,1,59
1325,5,353
1326,6,192
1327,5,262
1328,1,108
1329,1,591
1330,2,102
1331,8,330
1332,4,267
1333,6,337
1334,3,191
1335,4,386
1336,4,506
1337,5,375
1338,1,173
1339,4,208
1340,4,217
1341,2,88
1342,1,70
1343,3,244
1344,2,115
1345,1,80
1346,2,203
1347,2,164
1348,1,51
1349,4,138
1350,2,209
1351,0,58
1352,5,284
1353,1,93
1354,5,184
1355,5,268
1356,6,341
1357,4,295
1358,4,353
1359,4,552
1360,9,695
1361,1,61
1362,3,213
1363,10,392
1364,1,98
1365,3,216
1366,4,190
1367,3,192
1368,1,245
1369,7,297
