,Scores,Alive_Duration
0,0,241
1,0,319
2,0,327
3,0,340
4,0,290
5,0,42
6,0,112
7,0,200
8,0,719
9,0,381
10,0,256
11,0,134
12,0,142
13,0,224
14,0,286
15,0,188
16,0,422
17,1,129
18,0,240
19,0,432
20,0,104
21,0,61
22,1,202
23,1,389
24,1,345
25,0,196
26,0,429
27,0,149
28,0,226
29,0,305
30,0,294
31,0,127
32,0,543
33,0,642
34,0,171
35,0,142
36,0,231
37,0,101
38,0,164
39,0,549
40,0,208
41,0,271
42,0,223
43,0,627
44,0,465
45,0,56
46,1,162
47,1,342
48,0,241
49,0,158
50,0,235
51,0,202
52,0,268
53,0,224
54,0,172
55,0,404
56,0,101
57,0,248
58,1,644
59,0,191
60,1,257
61,0,444
62,0,116
63,0,68
64,0,219
65,0,144
66,1,150
67,0,362
68,0,306
69,0,197
70,0,261
71,0,711
72,0,74
73,1,349
74,0,273
75,0,123
76,0,187
77,2,1125
78,1,237
79,0,179
80,0,395
81,1,193
82,0,101
83,0,126
84,1,650
85,0,160
86,0,112
87,0,56
88,0,215
89,0,284
90,0,49
91,0,326
92,0,95
93,0,107
94,0,231
95,1,223
96,0,171
97,0,373
98,1,412
99,0,171
100,0,206
101,0,272
102,0,60
103,0,273
104,1,263
105,0,82
106,1,314
107,0,94
108,0,430
109,0,60
110,1,310
111,1,277
112,1,551
113,1,243
114,0,251
115,0,157
116,1,509
117,0,190
118,0,100
119,0,109
120,0,228
121,1,286
122,1,372
123,1,334
124,1,279
125,0,222
126,0,51
127,1,1231
128,0,69
129,0,50
130,2,530
131,0,269
132,2,531
133,0,522
134,0,143
135,0,283
136,1,482
137,1,346
138,0,499
139,0,240
140,1,1144
141,2,723
142,0,163
143,0,71
144,0,161
145,0,538
146,1,535
147,1,46
148,1,736
149,0,70
150,1,118
151,0,385
152,0,218
153,0,55
154,0,369
155,1,320
156,2,413
157,2,276
158,0,392
159,2,563
160,0,157
161,0,593
162,1,503
163,1,341
164,0,172
165,0,247
166,0,232
167,2,307
168,3,1103
169,0,233
170,1,212
171,2,539
172,2,621
173,1,137
174,1,261
175,1,448
176,1,90
177,0,50
178,0,385
179,3,1174
180,0,51
181,0,56
182,0,356
183,0,94
184,1,241
185,2,244
186,1,359
187,3,344
188,3,1094
189,2,421
190,1,382
191,0,131
192,1,247
193,0,176
194,0,83
195,1,438
196,1,588
197,0,166
198,1,181
199,4,327
200,0,290
201,3,468
202,1,121
203,1,192
204,1,181
205,1,233
206,0,72
207,0,135
208,0,87
209,0,233
210,0,266
211,0,63
212,1,362
213,1,522
214,2,216
215,0,189
216,1,178
217,0,411
218,1,294
219,1,169
220,2,659
221,2,610
222,1,463
223,0,188
224,4,438
225,0,310
226,0,161
227,1,207
228,1,250
229,2,134
230,1,327
231,0,82
232,2,495
233,3,553
234,0,69
235,0,165
236,4,858
237,1,420
238,1,377
239,1,190
240,0,96
241,1,310
242,1,146
243,2,277
244,1,80
245,0,108
246,3,414
247,0,198
248,3,519
249,1,300
250,1,270
251,0,110
252,1,218
253,1,491
254,0,243
255,4,797
256,1,425
257,2,212
258,0,139
259,2,526
260,2,162
261,4,621
262,0,116
263,1,165
264,0,164
265,2,331
266,0,111
267,1,220
268,2,172
269,2,585
270,1,69
271,1,299
272,2,383
273,1,97
274,0,224
275,4,667
276,2,290
277,1,206
278,3,641
279,2,341
280,0,104
281,1,199
282,1,159
283,2,466
284,4,793
